"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Sep 29 14:32:00 IST 2025","Mon Sep 29 14:32:00 IST 2025","0","Surefire suite","Surefire test","akhiraacademy.Tests.FinalSolutionHashMap","akhiraacademy.Tests.FinalSolutionHashMap","LogoutApplication","LogoutApplication",""
"passed","Mon Sep 29 14:32:00 IST 2025","Mon Sep 29 14:32:07 IST 2025","6273","Surefire suite","Surefire test","akhiraacademy.Tests.FinalSolutionJson","akhiraacademy.Tests.FinalSolutionJson","submitOrder","submitOrder",""
"broken","Mon Sep 29 14:32:00 IST 2025","Mon Sep 29 14:32:00 IST 2025","0","Surefire suite","Surefire test","akhiraacademy.Tests.FinalSolutionHashMap","akhiraacademy.Tests.FinalSolutionHashMap","submitOrder","submitOrder",""
"passed","Mon Sep 29 14:31:02 IST 2025","Mon Sep 29 14:31:05 IST 2025","3264","","Calculator","","Simple addition","","Simple addition",""
"passed","Mon Sep 29 14:32:13 IST 2025","Mon Sep 29 14:32:13 IST 2025","1","Surefire suite","Surefire test","seleniuminterview.DemoTestNG","seleniuminterview.DemoTestNG","DemoTest2","DemoTest2",""
"passed","Mon Sep 29 14:31:43 IST 2025","Mon Sep 29 14:31:47 IST 2025","3248","Surefire suite","Surefire test","akhiraacademy.Tests.ErrorValidations","akhiraacademy.Tests.ErrorValidations","ProductErrorValidation","ProductErrorValidation",""
"passed","Mon Sep 29 14:31:58 IST 2025","Mon Sep 29 14:32:00 IST 2025","1320","Surefire suite","Surefire test","akhiraacademy.Tests.FinalSolution","akhiraacademy.Tests.FinalSolution","LogoutApplication","LogoutApplication",""
"passed","Mon Sep 29 14:31:47 IST 2025","Mon Sep 29 14:31:52 IST 2025","5375","Surefire suite","Surefire test","akhiraacademy.Tests.FinalSolution","akhiraacademy.Tests.FinalSolution","submitOrder","submitOrder",""
"broken","Mon Sep 29 14:31:28 IST 2025","Mon Sep 29 14:31:40 IST 2025","12309","Surefire suite","Surefire test","akhiraacademy.ErrorValidations","akhiraacademy.ErrorValidations","ProductErrorValidation","ProductErrorValidation",""
"passed","Mon Sep 29 14:31:52 IST 2025","Mon Sep 29 14:31:58 IST 2025","6241","Surefire suite","Surefire test","akhiraacademy.Tests.FinalSolution","akhiraacademy.Tests.FinalSolution","submitOrder","submitOrder",""
"passed","Mon Sep 29 14:31:40 IST 2025","Mon Sep 29 14:31:43 IST 2025","3153","Surefire suite","Surefire test","akhiraacademy.Tests.ErrorValidations","akhiraacademy.Tests.ErrorValidations","LoginErrorValidation","LoginErrorValidation",""
"passed","Mon Sep 29 14:32:12 IST 2025","Mon Sep 29 14:32:13 IST 2025","1306","Surefire suite","Surefire test","akhiraacademy.Tests.FinalSolutionJson","akhiraacademy.Tests.FinalSolutionJson","LogoutApplication","LogoutApplication",""
"broken","Mon Sep 29 14:31:15 IST 2025","Mon Sep 29 14:31:25 IST 2025","10084","Surefire suite","Surefire test","akhiraacademy.ErrorValidations","akhiraacademy.ErrorValidations","LoginErrorValidation","LoginErrorValidation",""
"passed","Mon Sep 29 14:32:07 IST 2025","Mon Sep 29 14:32:12 IST 2025","5554","Surefire suite","Surefire test","akhiraacademy.Tests.FinalSolutionJson","akhiraacademy.Tests.FinalSolutionJson","submitOrder","submitOrder",""
"passed","Mon Sep 29 14:32:13 IST 2025","Mon Sep 29 14:32:13 IST 2025","0","Surefire suite","Surefire test","seleniuminterview.DemoTestNG","seleniuminterview.DemoTestNG","DemoTest","DemoTest",""
